ID,League,Player,Team,Minutes,Goals,NPG,NPG/90,xG,NPxG,NPxG/90,NPxG Overperf,NP Shots,NP Shot Qual,NP Fin Ratio
1146404,Denmark,Valdemar Byskov,FC Midtjylland,629,5,5,0.72,1.66,1.66,0.24,3.34,17,0.1,0.29
1185273,Austria,Sota Kitano,Red Bull Salzburg,787,5,5,0.57,1.68,1.68,0.19,3.32,22,0.08,0.23
2029645,Scotland,Barney Stewart,Falkirk FC,812,5,5,0.55,5.03,5.03,0.56,-0.03,25,0.2,0.2
909958,Austria,Yorbe Vertessen,Red Bull Salzburg,833,5,5,0.54,4.81,4.81,0.52,0.19,22,0.22,0.23
963041,Denmark,Alexander Lind Rasmussen,FC Nordsjælland,923,5,5,0.49,4.99,4.99,0.49,0.01,26,0.19,0.19
1805062,Austria,Edmund Baidoo,Red Bull Salzburg,1222,5,5,0.37,8.51,8.51,0.63,-3.51,45,0.19,0.11
1493501,Croatia,Salim Fago Lawal,NK Istra 1961,1321,5,5,0.34,4.45,4.45,0.3,0.55,31,0.14,0.16
39661,Greece,Taison,PAOK,1478,5,5,0.3,3.21,3.21,0.2,1.79,28,0.11,0.18
1129032,Scotland,Emmanuel Fernandez,Rangers,1547,5,5,0.29,3.64,3.64,0.21,1.36,25,0.15,0.2
1131565,Austria,Simon Seidl,FC Blau Weiss Linz,1590,5,5,0.28,2.02,2.02,0.11,2.98,32,0.06,0.16
943478,Denmark,Nicolai Vallys,Brøndby IF,1605,5,5,0.28,4.31,4.31,0.24,0.69,32,0.13,0.16
366592,Scotland,Kieran Tierney,Celtic,1784,5,5,0.25,2.45,2.45,0.12,2.55,24,0.1,0.21
792155,Greece,Jorge Pombo,AE Kifisia,1828,5,5,0.25,4.98,4.98,0.25,0.02,74,0.07,0.07
823856,Greece,Lazaros Lamprou,NPS Volos,1844,5,5,0.24,5.56,4.77,0.23,0.23,42,0.11,0.12
840412,Greece,Giannis Kosti,APO Levadiakos,1869,5,5,0.24,2.31,2.31,0.11,2.69,27,0.09,0.19
978952,Austria,Kasper Jørgensen,LASK,1878,5,5,0.24,4.98,4.98,0.24,0.02,37,0.13,0.14
190261,Scotland,Stuart Findlay,Heart of Midlothian,2489,5,5,0.18,2.05,2.05,0.07,2.95,24,0.09,0.21
234958,Switzerland,Leonardo Bertone,FC Thun,2332,9,4,0.15,6.28,1.54,0.06,2.46,49,0.03,0.08
844721,Czechia,Michal Bílek,FK Teplice,1642,8,4,0.22,5.3,1.35,0.07,2.65,27,0.05,0.15
1099792,Switzerland,Bénie Traoré,Basel,1365,7,4,0.26,6.5,4.13,0.27,-0.13,31,0.13,0.13
1100957,Portugal,Marko Milovanović,FC Alverca,1414,7,4,0.25,6.8,4.43,0.28,-0.43,28,0.16,0.14
